State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Rural_Households,Households_with_Electric_Lighting,SC,ST,Workers,Non_Workers,Sex-Ratio,Literacy Rate
Mizoram,Lunglei,23.007717036172675,92.63512555425892,286,161428,482,21479,26394,178,153533,78292,83136,95.0,75.0
Mizoram,Mamit,23.73852942502819,92.4330803833147,281,86364,90,16726,12158,51,82080,39339,47025,93.0,70.0
Mizoram,Saiha,22.35744801061008,93.02827931034489,288,56574,168,7043,7400,83,54642,19461,37113,98.0,75.0
Mizoram,Serchhip,23.263864705882344,92.914158496732,285,64937,131,7472,12315,32,62889,32397,32540,98.0,84.0
Nagaland,Dimapur,25.814176811594223,93.75074057971014,265,378811,3303,49116,71413,0,223989,151350,227461,92.0,73.0
Nagaland,Kohima,25.60311428571428,93.78600657596373,270,267988,1928,31845,50724,0,224738,114825,153163,93.0,74.0
Nagaland,Mokokchung,26.478911764705888,94.522426006192,262,194622,537,37536,40154,0,178431,100067,94555,93.0,82.0
Nagaland,Mon,26.69207374301676,95.03072988826828,261,250260,178,43607,14398,0,238285,147654,102606,90.0,48.0
Nagaland,Phek,25.63272986577182,94.56814563758392,266,163418,170,38903,36182,0,157146,80277,83141,95.0,65.0
Nagaland,Tuensang,26.21104453280316,94.85809880715708,267,196596,155,40690,24998,0,190916,98154,98442,93.0,60.0
Nagaland,Wokha,26.202611551155112,94.1990815181518,264,166343,198,38499,25268,0,156621,78412,87931,97.0,77.0
Nagaland,Zunheboto,26.028178205128206,94.50026666666668,263,140757,261,31267,28846,0,136561,79466,61291,98.0,73.0
Orissa,Baleshwar,21.48570932311624,87.08085828011933,377,2320529,7370,601154,296834,478586,275678,932707,1387822,96.0,70.0
Orissa,Bhadrak,20.95262735257214,86.81496204516931,378,1506337,2637,373862,164636,334896,30428,468599,1037738,98.0,73.0
Orissa,Cuttack,20.407640646029623,85.7776810228802,381,2624470,15046,579529,349587,498633,93745,936365,1688105,94.0,77.0
Orissa,Dhenkanal,20.79887159353349,85.53226836027711,383,1192811,1810,315390,117172,234079,162056,435533,757278,95.0,70.0
Orissa,Gajapati,19.121080882352945,84.14015091911759,389,577817,635,152095,63112,39175,313714,293933,283884,104.0,45.0
Orissa,Ganjam,19.2632617564534,84.80297710437702,388,3529031,9049,795476,405298,688235,118928,1501772,2027259,98.0,63.0
Orissa,Jharsuguda,21.827058566978184,83.93581682242987,371,579505,2498,103224,81433,104620,176758,247707,331798,95.0,70.0
Orissa,Kalahandi,19.784253092783523,83.1124043814433,395,1576869,1953,456336,91171,286580,449456,751930,824939,100.0,51.0
Orissa,Kandhamal,20.092878624813142,84.02216352765326,390,733110,768,218446,28736,115544,392820,355349,377761,104.0,55.0
Orissa,Kendrapara,20.606319815982264,86.83763247572003,379,1440361,1628,414749,173107,309780,9484,466890,973471,101.0,76.0
Orissa,Khordha,20.054162322274863,85.52234834123229,386,2251673,35701,331834,349860,297472,115051,792193,1459480,93.0,78.0
